"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"best_case"
"03/10/2020 23:41:18:804 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","initial-number-defending-b26","initial-number-attacking-b26","initial-number-t33","defender-number-base-a","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count defenders","count attackers"
"2","15","0","20","0","200","0","15","200","false","100","false","42","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","32","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","40","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","36","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","38","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","36","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","43","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","33","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","41","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","37","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","39","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","37","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","44","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","34","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","42","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","38","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","40","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","38","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","45","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","43","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","39","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","41","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","35","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","39","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","46","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","44","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","40","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","42","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","36","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","40","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","47","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","45","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","41","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","43","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","37","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","41","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","48","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","46","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","42","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","44","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","42","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","38","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","49","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","43","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","47","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","45","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","43","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","48","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","39","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","50","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","44","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","46","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","44","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","49","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","40","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","51","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","45","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","47","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","45","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","50","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","52","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","41","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","46","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","48","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","46","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","51","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","42","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","53","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","47","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","49","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","47","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","54","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","52","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","43","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","48","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","50","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","55","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","48","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","53","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","49","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","44","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","51","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","56","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","49","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","54","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","50","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","45","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","52","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","57","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","55","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","50","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","51","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","46","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","53","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","58","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","56","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","52","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","51","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","47","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","54","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","59","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","57","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","53","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","52","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","48","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","60","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","55","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","54","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","58","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","53","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","61","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","49","500","30"
