"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:51:26:889 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","defender-number-base-a","initial-number-attacking-b26","initial-number-defending-b26","initial-number-t33","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count turtles","count attackers","count defenders"
"5","15","200","4","11","5","5","15","200","false","100","false","16","555","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","19","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","21","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","16","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","17","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","21","555","29","500"
"5","15","200","4","11","5","5","15","200","false","100","false","17","555","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","14","551","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","20","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","20","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","22","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","17","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","18","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","22","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","15","551","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","18","555","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","21","554","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","21","557","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","23","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","18","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","19","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","23","555","29","500"
"7","15","200","6","11","5","5","15","200","false","100","false","22","557","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","16","551","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","19","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","24","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","22","554","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","19","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","20","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","24","555","29","500"
"7","15","200","6","11","5","5","15","200","false","100","false","23","557","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","17","551","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","20","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","25","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","23","554","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","21","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","20","553","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","25","555","29","500"
"7","15","200","6","11","5","5","15","200","false","100","false","24","557","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","21","555","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","24","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","18","551","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","26","557","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","22","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","21","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","25","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","26","555","29","500"
"5","15","200","4","11","5","5","15","200","false","100","false","22","555","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","25","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","19","551","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","27","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","22","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","23","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","27","555","29","500"
"7","15","200","6","11","5","5","15","200","false","100","false","26","557","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","23","555","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","26","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","28","557","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","20","551","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","23","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","24","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","28","555","29","500"
"5","15","200","4","11","5","5","15","200","false","100","false","24","555","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","27","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","27","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","29","557","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","21","551","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","25","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","24","553","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","25","555","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","28","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","28","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","30","557","29","500"
"6","15","200","5","11","5","5","15","200","false","100","false","29","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","22","551","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","26","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","25","553","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","26","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","31","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","29","554","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","30","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","23","551","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","27","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","26","553","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","30","554","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","31","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","24","551","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","28","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","27","553","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","31","554","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","29","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","32","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","25","551","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","28","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","29","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","27","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","32","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","32","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","26","551","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","29","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","30","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","33","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","30","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","28","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","33","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","33","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","27","551","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","31","557","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","30","553","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","34","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","31","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","29","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","34","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","34","554","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","31","553","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","28","551","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","32","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","35","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","32","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","30","555","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","35","557","29","500"
"3","15","200","2","11","5","5","15","200","false","100","false","32","553","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","29","551","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","35","554","30","500"
