"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:52:50:578 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","558","29","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","551","29","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","558","29","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","550","28","500","553","30","500","554","30","500","555","30","500","555","29","500","557","30","500","557","29","500","557","28","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","548","26","500","553","30","500","554","30","500","555","30","500","555","29","500","555","28","500","557","29","500","557","28","500","556","26","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","548","26","500","553","30","500","554","30","500","555","30","500","555","29","500","553","26","500","557","29","500","556","27","500","554","24","500","561","30","500","562","30","500","563","30","500","564","30","500","561","26","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","548","26","500","553","30","500","554","30","500","555","30","500","555","29","500","553","26","500","557","29","500","556","27","500","554","24","500","560","29","500","562","30","500","563","30","500","564","30","500","559","24","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","553","26","500","557","29","500","556","27","500","554","24","500","560","29","500","560","28","500","563","30","500","564","30","500","559","24","500","566","30","500","567","30","500","568","30","500","569","30","500","569","29","500","571","30","500"
,"551","30","500","547","25","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","554","24","500","560","29","500","560","28","500","563","30","500","564","30","500","559","24","500","566","30","500","567","30","500","568","30","500","569","30","500","568","29","499","571","30","500"
